caseid,sex,ybirth,mbirth,ZQ03,JC_1,JC_41,ZQ08A,ZQ08B,ZQ08C,ZQ08D,ZQ08E,ZQ08F,ZQ08G,ZQ08H,ZQ11_A,ZQ11_B,ZQ11_C,ZQ11_D,ZQ11_E,ZQ11_F,ZQ11_G,ZQ11_H,ZQ11_I,ZQ11_J,ZQ11_K,ZQ11_L,ZQ11_M,ZQ11_N,ZQ11_O,ZQ12,ZQ14_1A,ZQ14_1B,ZQ14_1C,ZQ14_1D,ZQ23A,ZQ23B,ZQ23C,ZQ23D,ZQ24,ZQ25,ZQ26A,ZQ26B,ZQ26C,ZQ26D,ZQ26E,ZQ26F,ZQ30D,ZQ35,ZQ39A,ZQ42,ZQ43,ZQ47A,ZQ47B,ZQ47C,ZQ50,ZQ52A,ZQ52Y,ZQ54A,ZQ54B,ZQ54C,ZQ54D,ZQ61_A,ZQ61_B,ZQ61_C,ZQ61_D,ZQ61_E,ZQ61_F,ZQ61_G,ZQ61_H,ZQ61_I,ZQ62
10001,1,1976,10,1,2,12,4,1,3,4,4,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,5,5,5,4,1,1,4,5,3,5,3,4,2,4,4,9,2,6,5,8,2,2,51,1,2,9,9,1,2,2,2,2,2,2,2,2,3
10002,1,1972,1,1,2,9,6,2,2,4,6,6,6,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,1,3,5,2,2,1,3,5,5,2,5,1,5,1,5,3,1,1,9,5,10,2,2,51,1,2,2,4,1,2,2,2,2,2,2,2,2,2
10003,1,1975,4,1,2,9,6,6,6,3,6,6,4,6,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,0,0,0,0,3,2,2,2,1,3,5,5,4,5,3,5,1,4,5,9,4,6,3,6,2,2,56,3,5,3,2,1,2,2,2,2,2,2,2,2,2
10004,2,1974,11,1,2,7,6,1,1,5,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,0,0,3,5,2,2,1,2,3,5,2,4,2,4,2,5,3,3,3,6,8,9,2,2,48,6,1,5,4,1,2,2,2,2,2,2,2,2,4
10005,1,1978,1,2,10,88,6,2,2,4,1,2,5,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,4,2,0,0,0,5,8,5,5,1,2,3,3,4,3,3,4,4,5,4,2,2,1,99,99,1,8,888,8,8,8,8,2,2,2,1,2,2,2,2,2,1
10006,1,1984,2,2,10,88,6,1,2,6,3,6,6,6,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,0,1,0,4,8,3,2,1,4,3,4,3,4,3,5,4,7,4,2,3,2,15,10,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10007,2,1976,6,1,2,8,6,4,1,5,1,4,4,4,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,3,1,0,0,0,5,5,5,2,1,3,3,3,2,3,1,3,1,5,5,9,3,7,9,10,2,1,73,6,5,5,5,1,2,2,2,2,2,2,2,2,1
10008,1,1975,4,1,2,9,5,2,2,4,4,5,4,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,4,1,0,0,1,3,4,5,4,1,4,4,4,3,3,3,5,4,7,3,9,1,6,4,7,2,1,76,2,2,3,4,2,1,2,2,2,2,2,2,2,3
10009,2,1985,9,1,3,5,1,1,1,4,1,4,5,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,4,0,0,1,0,2,8,2,3,2,3,5,4,4,3,4,5,3,9,2,9,4,4,15,14,1,8,888,8,8,8,8,2,2,2,2,2,2,2,2,1,3
10010,1,1972,2,1,2,8,6,1,2,5,6,6,5,4,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,3,0,0,0,1,2,8,1,1,1,2,1,3,3,4,3,5,3,5,4,1,1,5,15,8,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
